state,county,community,communityname,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
5,108,799,804,0,19,28,2,88,12,17,30,37,27,32,20,63,36,69,34,57,27,15,37,38,40,39,32,27,27,36,37,8,19,10,18,46,26,66,23,38,25,50,66,35,71,71,28,55,55,59,54,72,75,4,14,3,24,27,37,38,7,7,8,8,86,6,14,13,30,34,26,54,9,51,1,21,63,50,5,24,31,14,6,22,19,18,36,34,36,33,34,45,16,4,0,12,40,49,50,62,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,12,26,20,6,4,62,1,17,14,0.2
42,108,799,1625,0,0,11,12,72,45,7,22,49,33,27,2,63,30,69,11,42,23,29,33,28,37,38,33,16,30,22,31,1,24,14,24,28,26,71,57,12,42,34,97,58,87,93,22,43,43,58,37,44,52,0,24,1,52,62,64,62,25,27,25,23,81,10,16,10,14,24,15,25,20,82,0,2,71,22,2,23,31,16,0,21,20,21,42,37,38,36,25,31,11,0,0,21,48,33,59,50,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,2,12,45,6,4,62,1,0,14,0.67
18,108,799,1,0,0,37,49,54,17,4,35,37,26,32,0,0,29,55,19,36,36,40,78,27,27,29,27,7,29,28,35,1,27,27,43,17,35,56,32,26,49,30,61,36,67,66,38,42,40,41,41,69,66,1,46,0,7,6,15,18,2,2,4,5,85,4,20,20,43,47,41,41,15,51,1,1,78,39,29,28,25,47,45,18,17,16,27,28,25,30,44,38,18,0,0,14,47,53,66,54,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,1,21,2,6,4,62,1,0,14,0.43
25,56,725,1787,0,4,71,99,6,12,10,47,40,32,21,6,63,57,86,21,40,34,20,76,50,36,40,39,16,25,36,40,1,10,9,25,29,32,69,36,42,37,37,32,40,45,40,68,65,50,81,63,83,85,3,33,2,11,20,30,30,5,8,11,11,78,8,56,62,82,72,97,93,12,1,1,1,89,94,60,45,25,11,11,24,21,19,75,69,75,88,59,50,32,0,0,19,28,72,63,63,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,2,39,28,6,4,62,1,0,14,0.12
33,105,517,141,0,1,50,2,93,9,5,34,28,21,36,2,53,49,69,16,65,42,11,65,45,43,41,28,0,74,51,44,0,6,25,30,31,11,63,67,35,42,44,20,22,16,17,44,91,87,87,83,38,59,0,6,0,3,7,20,26,1,2,4,5,85,5,16,19,56,55,35,88,2,19,1,1,81,85,4,53,35,5,14,31,31,30,40,35,36,37,18,50,13,0,0,11,70,63,60,51,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,4,9,2,6,4,62,1,0,14,0.03
4,105,517,1518,0,2,23,6,52,90,25,27,38,25,37,4,63,51,65,20,58,26,15,19,61,72,76,77,28,52,48,56,1,12,13,12,77,9,63,19,74,6,89,47,52,57,54,37,62,65,85,51,28,42,0,11,4,30,35,43,46,50,50,56,57,42,28,25,19,26,48,16,38,26,73,0,2,76,28,16,26,12,2,5,94,99,97,67,62,66,61,43,58,6,0,0,70,40,48,72,62,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,1,58,10,6,4,62,1,0,14,0.14
34,77,281,839,0,1,34,0,96,6,2,26,27,21,60,2,44,41,47,23,65,59,21,48,42,47,44,40,24,86,24,32,1,11,29,41,34,27,52,44,50,33,47,23,29,24,24,35,77,77,77,72,55,61,0,13,1,0,2,2,9,0,1,1,3,70,5,12,13,39,49,22,64,3,46,1,1,81,55,9,47,18,5,5,37,38,39,26,34,40,34,42,43,20,0,0,15,79,76,90,82,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,5,8,6,6,4,62,1,0,14,0.03
4,77,281,1461,0,1,69,3,44,20,90,48,45,34,35,0,0,15,41,98,20,51,97,35,14,10,12,8,17,27,18,17,3,64,93,82,10,97,24,43,31,71,16,36,42,55,48,71,45,39,32,32,27,26,2,50,2,50,59,65,58,69,72,71,59,9,86,74,75,77,63,90,38,83,66,0,1,83,44,22,35,29,28,23,15,13,13,21,23,23,23,60,58,18,0,0,59,56,51,78,76,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,1,33,0,6,4,62,1,0,14,0.55
15,77,281,668,0,3,29,20,82,2,0,34,35,26,48,4,63,16,44,36,31,53,48,37,20,23,23,19,10,26,29,18,4,45,52,59,15,54,41,59,33,64,27,60,21,62,63,30,51,51,56,45,63,63,2,29,0,12,9,7,12,0,0,0,0,96,1,12,12,32,33,31,49,10,64,0,4,64,47,5,47,24,57,22,7,7,8,14,16,14,14,34,12,24,1,0,1,76,47,78,73,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,4,17,4,6,4,62,1,0,14,0.53
22,77,281,287,0,1,35,6,85,30,3,86,72,77,39,2,63,53,56,22,83,40,2,25,84,89,94,11,9,33,17,76,0,11,4,3,95,10,42,20,95,2,94,28,80,35,32,24,65,69,76,65,70,70,0,7,1,41,44,52,47,22,21,22,19,82,3,9,6,12,29,3,47,3,58,0,2,64,36,7,45,2,1,0,63,71,79,44,41,45,40,19,26,18,0,0,22,40,33,22,7,3,12,29,13,6,17,41,12,69,66,3,7,9,7,2,8,29,0,47,11,6,4,62,1,0,14,0.15
